WAVELENGTH	THROUGHPUT
2830.83251953125	3.1080799449857965e-08
2840.0	3.047237136486801e-08
2840.835205078125	3.041907461440455e-08
2850.0	2.505152751794836e-08
2850.837646484375	2.455913751994787e-08
2860.0	3.7673906120579435e-08
2860.840087890625	3.8877778630786714e-08
2870.0	3.241285172326015e-08
2870.842529296875	3.181898524791392e-08
2880.0	3.425653977362778e-08
2880.844970703125	3.44796041558569e-08
2890.0	3.963491844913346e-08
2890.847412109375	4.0116452575138374e-08
2900.0	3.9479319500433734e-08
2900.849853515625	3.9433677391351364e-08
2910.0	3.778344202284661e-08
2910.852294921875	3.7625493770660125e-08
2920.0	4.932771782577126e-08
2920.854736328125	5.043222743479056e-08
2930.0	3.967084305209356e-08
2930.857421875	3.865103294618566e-08
2940.0	4.634625926814269e-08
2940.85986328125	4.707829383756701e-08
2950.0	5.0584112761261273e-08
2950.8623046875	5.0917126749902705e-08
2960.0	6.053817100846829e-08
2960.86474609375	6.145044182120524e-08
2970.0	6.067598464827671e-08
2970.8671875	6.060644491102413e-08
2980.0	6.097045303400677e-08
2980.86962890625	6.100033095832022e-08
2990.0	5.233988557978133e-08
2990.872314453125	5.151095236837313e-08
3000.0	5.129443757760308e-08
3000.874755859375	5.124007140994471e-08
3010.0	5.371457349604153e-08
3010.877197265625	5.395662231401598e-08
3020.0	5.616569613124966e-08
3020.879638671875	5.637880387003085e-08
3030.0	5.501714485640642e-08
3030.882080078125	5.488073868518729e-08
3040.0	4.7398115814533946e-08
3040.884765625	4.6675850422811616e-08
3050.0	4.675470619997785e-08
3050.88720703125	4.6758657458843705e-08
3060.0	4.0929201242533654e-08
3060.8896484375	4.036342120521564e-08
3070.0	4.69523213727945e-08
3070.89208984375	4.759411785341497e-08
3080.0	4.8170491785235e-08
